case_cond,reverse_cond,input,expected,actual,result,result_emojis,model_input
letter,no letters,AsDf,'aSdF','AsDf',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,As?Df,'aS?dF','As?Df',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,As??Df,'aS??dF','As??Df',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,1234,'4321','1234',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,1?234,'432?1','1?234',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,a1?234,'A1?234','a1?234',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,a1?2?34,'A1?2?34','a1?2?34',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#a@C,'#A@c','#a@C',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#a?C,'#A?c','#a?C',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,6@2,'2@6','6@2',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#$a^D,'#$A^d','#$a^D',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#?a^D,'#?A^d','#?a^D',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#?a^?D,'#?A^?d','#?a^?D',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#ccc,'#CCC','#ccc',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#c?c,'#C?C','#c?c',f,❌,input/codeparrot/str_solve/0.txt
letter,no letters,#c??c,'#C??C','#c??c',f,❌,input/codeparrot/str_solve/0.txt
letter,letters,AsDf,'FdSa','AsDf',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,As?Df,'Fd?Sa','As?Df',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,As??Df,'Fd??Sa','As??Df',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,1234,,,p,✅,input/codeparrot/str_solve/1.txt
letter,letters,1?234,,,p,✅,input/codeparrot/str_solve/1.txt
letter,letters,a1?234,'432?1A','a1?234',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,a1?2?34,'43?2?1A','a1?2?34',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,#a@C,'c@A#','#a@C',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,#a?C,'c?A#','#a?C',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,6@2,,,p,✅,input/codeparrot/str_solve/1.txt
letter,letters,#$a^D,'d^A$#','#$a^D',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,#?a^D,'d^A?#','#?a^D',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,#?a^?D,'d?^A?#','#?a^?D',f,❌,input/codeparrot/str_solve/1.txt
letter,letters,#ccc,'CCC#','#ccc',f,❌,input/codeparrot/str_solve/1.txt
