case_cond,reverse_cond,result_emojis,result,model_input,failed_inputs,errors
letter,no letters,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppppp,input/codex/str_solve/0.txt,[],[]
letter,letters,✅❌❌✅✅❌❌❌❌✅❌❌❌❌❌❌,pffppffffpffffff,input/codex/str_solve/1.txt,"[[""'Fd?Sa'"", ""'As?Df'""], [""'Fd??Sa'"", ""'As??Df'""], [""'432?1A'"", ""'a1?234'""], [""'43?2?1A'"", ""'a1?2?34'""], [""'c@A#'"", ""'#a@C'""], [""'c?A#'"", ""'#a?C'""], [""'d^A$#'"", ""'#$a^D'""], [""'d^A?#'"", ""'#?a^D'""], [""'d?^A?#'"", ""'#?a^?D'""], [""'CCC#'"", ""'#ccc'""], [""'C?C#'"", ""'#c?c'""], [""'C??C#'"", ""'#c??c'""]]",[]
letter,exactly one question mark,✅❌✅✅✅❌✅✅❌✅✅❌✅✅❌✅,pfpppfppfppfppfp,input/codex/str_solve/2.txt,"[[""'Fd?Sa'"", ""'fD?sA'""], [""'432?1A'"", ""'432?1a'""], [""'c?A#'"", ""'C?a#'""], [""'d^A?#'"", ""'D^a?#'""], [""'C?C#'"", ""'c?c#'""]]",[]
letter,more than one question mark,✅✅❌✅✅✅❌✅✅✅✅✅❌✅✅❌,ppfpppfpppppfppf,input/codex/str_solve/3.txt,"[[""'Fd??Sa'"", ""'fD??sA'""], [""'43?2?1A'"", ""'43?2?1a'""], [""'d?^A?#'"", ""'D?^a?#'""], [""'C??C#'"", ""'c??c#'""]]",[]
letter,no question marks,❌✅✅✅✅✅✅❌✅✅❌✅✅❌✅✅,fppppppfppfppfpp,input/codex/str_solve/4.txt,"[[""'FdSa'"", ""'fDsA'""], [""'c@A#'"", ""'C@a#'""], [""'d^A$#'"", ""'D^a$#'""], [""'CCC#'"", ""'ccc#'""]]",[]
letter,one or more question marks,✅❌❌✅✅❌❌✅❌✅✅❌❌✅❌❌,pffppffpfppffpff,input/codex/str_solve/5.txt,"[[""'Fd?Sa'"", ""'fD?sA'""], [""'Fd??Sa'"", ""'fD??sA'""], [""'432?1A'"", ""'432?1a'""], [""'43?2?1A'"", ""'43?2?1a'""], [""'c?A#'"", ""'C?a#'""], [""'d^A?#'"", ""'D^a?#'""], [""'d?^A?#'"", ""'D?^a?#'""], [""'C?C#'"", ""'c?c#'""], [""'C??C#'"", ""'c??c#'""]]",[]
vowel,no letters,❌❌❌✅✅❌❌❌❌✅❌❌❌❌❌❌,fffppffffpffffff,input/codex/str_solve/6.txt,"[[""'AsDf'"", ""'fDsa'""], [""'As?Df'"", ""'fD?sa'""], [""'As??Df'"", ""'fD??sa'""], [""'A1?234'"", ""'432?1A'""], [""'A1?2?34'"", ""'43?2?1A'""], [""'#A@C'"", ""'C@A#'""], [""'#A?C'"", ""'C?A#'""], [""'#$A^D'"", ""'D^A$#'""], [""'#?A^D'"", ""'D^A?#'""], [""'#?A^?D'"", ""'D?^A?#'""], [""'#ccc'"", ""'ccc#'""], [""'#c?c'"", ""'c?c#'""], [""'#c??c'"", ""'c??c#'""]]",[]
vowel,letters,✅✅✅❌❌✅✅✅✅❌✅✅✅✅✅✅,pppffppppfpppppp,input/codex/str_solve/7.txt,"[[""'1234'"", ""'4321'""], [""'1?234'"", ""'432?1'""], [""'6@2'"", ""'2@6'""]]",[]
vowel,exactly one question mark,❌✅❌✅✅❌✅❌❌✅❌❌❌✅✅✅,fpfppfpffpfffppp,input/codex/str_solve/8.txt,"[[""'AsDf'"", ""'Asdf'""], [""'As??Df'"", ""'As??df'""], [""'432?1A'"", ""'432?1a'""], [""'#A@C'"", ""'#A@c'""], [""'C?A#'"", ""'C?a#'""], [""'#$A^D'"", ""'#$A^d'""], [""'D^A?#'"", ""'D^a?#'""], [""'#?A^?D'"", ""'#?A^?d'""]]",[]
vowel,more than one question mark,✅✅✅✅✅✅❌✅✅✅✅✅❌✅✅✅,ppppppfpppppfppp,input/codex/str_solve/9.txt,"[[""'43?2?1A'"", ""'43?2?1a'""], [""'D?^A?#'"", ""'D?^a?#'""]]",[]
